8.47485,8.81229,,5327.64591,5327.91009,,Latitudes,,difference,squared difference
8.97435,8.97879,,5326.56699,5326.5681,,8.97435,8.97879,-0.00443999997301958,1.97136E-05
8.97102,8.97435,,5326.56699,5326.56699,,8.97102,8.97435,-0.00332999988117066,1.10889E-05
8.96769,8.97102,,5326.56588,5326.56699,,8.96769,8.97102,-0.00333000027553076,1.10889E-05
8.96769,8.96769,,5326.56699,5326.56588,,8.96769,8.96769,0,0
8.96436,8.96769,,5326.56366,5326.56699,,8.96436,8.96769,-0.00332999988116889,1.10889E-05
8.96325,8.96436,,5326.55922,5326.56366,,8.96325,8.96436,-0.00111000009185069,1.2321E-06
8.96103,8.96325,,5326.55922,5326.55922,,8.96103,8.96325,-0.00221999978933063,4.9284E-06
8.95881,8.96103,,5326.55478,5326.55922,,8.95881,8.96103,-0.00222000018367829,4.9284E-06
8.95326,8.95881,,5326.55367,5326.55478,,8.95326,8.95881,-0.00555000006486139,3.08025E-05
8.94882,8.95326,,5326.55367,5326.55367,,8.94882,8.95326,-0.00443999997301958,1.97136E-05
8.9466,8.94882,,5326.55034,5326.55367,,8.9466,8.94882,-0.00221999978933063,4.9284E-06
8.93994,8.9466,,5326.54923,5326.55034,,8.93994,8.9466,-0.00666000015669965,4.43556E-05
8.9355,8.93994,,5326.55145,5326.54923,,8.9355,8.93994,-0.00443999997300892,1.97136E-05
8.93328,8.9355,,5326.55367,5326.55145,,8.93328,8.9355,-0.00222000018369073,4.9284E-06
8.93106,8.93328,,5326.55478,5326.55367,,8.93106,8.93328,-0.00221999978933063,4.9284E-06
8.93106,8.93106,,5326.55589,5326.55478,,8.93106,8.93106,0,0
8.92884,8.93106,,5326.557,5326.55589,,8.92884,8.93106,-0.00221999978932885,4.9284E-06
8.92773,8.92884,,5326.55811,5326.557,,8.92773,8.92884,-0.00111000009184004,1.2321E-06
8.92995,8.92773,,5326.55811,5326.55811,,8.92995,8.92773,0.00221999978932885,4.9284E-06
8.92773,8.92995,,5326.55922,5326.55811,,8.92773,8.92995,-0.00221999978932885,4.9284E-06
8.89332,8.92773,,5326.59363,5326.55922,,8.89332,8.92773,-0.0344100000866412,0.001184048
8.89443,8.89332,,5326.5903,5326.59363,,8.89443,8.89332,0.00111000009184004,1.2321E-06
8.89554,8.89443,,5326.58697,5326.5903,,8.89554,8.89443,0.00111000009184004,1.2321E-06
8.89554,8.89554,,5326.58586,5326.58697,,8.89554,8.89554,0,0
8.89332,8.89554,,5326.58697,5326.58586,,8.89332,8.89554,-0.00222000018368007,4.9284E-06
8.89221,8.89332,,5326.58808,5326.58697,,8.89221,8.89332,-0.00111000009184004,1.2321E-06
8.8911,8.89221,,5326.58808,5326.58808,,8.8911,8.89221,-0.00110999969748882,1.2321E-06
8.88999,8.8911,,5326.58919,5326.58808,,8.88999,8.8911,-0.00111000009185069,1.2321E-06
8.88888,8.88999,,5326.58697,5326.58919,,8.88888,8.88999,-0.00111000009184004,1.2321E-06
8.88555,8.88888,,5326.58697,5326.58697,,8.88555,8.88888,-0.00332999988116889,1.10889E-05
8.88444,8.88555,,5326.58697,5326.58697,,8.88444,8.88555,-0.00111000009184004,1.2321E-06
8.88222,8.88444,,5326.58253,5326.58697,,8.88222,8.88444,-0.00222000018369073,4.9284E-06
8.88111,8.88222,,5326.5792,5326.58253,,8.88111,8.88222,-0.00110999969749059,1.2321E-06
8.88,8.88111,,5326.57698,5326.5792,,8.88,8.88111,-0.00111000009184004,1.2321E-06
8.87778,8.88,,5326.57809,5326.57698,,8.87778,8.88,-0.00221999978932885,4.9284E-06
8.87556,8.87778,,5326.57809,5326.57809,,8.87556,8.87778,-0.00222000018369073,4.9284E-06
8.87334,8.87556,,5326.58031,5326.57809,,8.87334,8.87556,-0.00222000018368007,4.9284E-06
8.87334,8.87334,,5326.57698,5326.58031,,8.87334,8.87334,0,0
8.87112,8.87334,,5326.57698,5326.57698,,8.87112,8.87334,-0.00221999978932885,4.9284E-06
8.86668,8.87112,,5326.57476,5326.57698,,8.86668,8.87112,-0.0044400003673708,1.97136E-05
8.86557,8.86668,,5326.57698,5326.57476,,8.86557,8.86668,-0.00110999969749059,1.2321E-06
8.86335,8.86557,,5326.57698,5326.57698,,8.86335,8.86557,-0.00222000018368007,4.9284E-06
8.86224,8.86335,,5326.58586,5326.57698,,8.86224,8.86335,-0.00110999969748882,1.2321E-06
8.85891,8.86224,,5326.58808,5326.58586,,8.85891,8.86224,-0.00333000027553076,1.10889E-05
8.26062,8.85891,,5326.29504,5326.58808,,8.26062,8.85891,-0.59828999981448,0.357950924
6.28593,8.26062,,5325.61905,5326.29504,,6.28593,8.26062,-1.97469000012518,3.899400597
5.6388,6.28593,,5325.58797,5325.61905,,5.6388,6.28593,-0.64712999991201,0.418777237
4.93839,5.6388,,5325.55689,5325.58797,,4.93839,5.6388,-0.70040999998256,0.490574168
4.27683,4.93839,,5325.14619,5325.55689,,4.27683,4.93839,-0.6615599999229,0.437661633
